FH_Ter,FT_Seg,FT_Ter,FT_Sex,FT_Sab,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,mean_roi_turn
300,400,300,250,400,3086.8462109499997,4316.5451852415545,-4431.1233,3405.6229999999996,9651.489875,0.2317,85760.96745,0.037543498221225664
300,400,300,200,400,3086.287069,4314.634957252429,-4402.162625,3382.1997499999998,9714.58545,0.23225,80162.92595,0.03999733529818521
250,500,250,300,400,3084.373978999999,4086.645144523766,-4127.148900000001,3418.7589999999996,9273.29565,0.2217,89341.39175,0.03629096917847951
200,400,250,300,400,3083.4184689999997,3949.7014764470805,-3863.5069500000004,3388.97,9069.659649999998,0.2135,88246.53275,0.036661369501935985
300,300,250,250,400,3080.95647935,4012.3287250020917,-3947.8131499999995,3398.9534999999996,9149.73515,0.21595,83069.5611,0.03871975542010475
300,300,250,200,400,3080.3973373999993,4006.450223649168,-3911.4730500000005,3383.4524999999994,9170.52175,0.2181,77471.5196,0.041345503167037126
250,400,150,300,400,3078.50414105,3525.655124506988,-3217.2808499999996,3376.5495,8321.545349999999,0.18895,84093.9269,0.03857485042637997
200,300,200,300,400,3078.2674364999993,3643.7981285233604,-3373.1875000000005,3371.1674999999996,8537.24805,0.1961,85184.2998,0.03802191168086348
300,400,250,250,400,3072.17061635,4059.388343038375,-4048.04585,3404.2194999999992,9228.6276,0.2201,84017.78705,0.03816941242752704
100,300,300,300,400,3071.6765303499997,3973.1315399842183,-3831.783475000001,3309.9744999999994,9199.203199999998,0.21545,88001.14535,0.03666246942071445
300,400,250,200,400,3071.6114743999997,4055.8097949908106,-4002.0292500000014,3379.9334999999996,9240.971999999998,0.2214,78419.74555,0.040728451693381
200,500,300,300,400,3070.8559536,4258.874440469158,-4372.752125000001,3383.6929999999993,9548.074550000001,0.2302,90800.20655,0.03554679577812331
250,500,200,300,400,3070.4370834999995,3821.632319362583,-3702.5576499999997,3389.803,8792.418849999998,0.2073,87227.38475,0.03711952302913731
200,400,200,300,400,3069.4815734999997,3686.5948414523705,-3484.72895,3356.026999999999,8601.483149999996,0.19985,86132.52575,0.03750522984100854
300,300,200,250,400,3067.01958385,3742.1886075062243,-3540.7072000000003,3372.066499999999,8665.98525,0.20355,80955.5541,0.039664179511148236
300,300,200,200,400,3066.4604418999993,3733.6931073702744,-3501.384,3356.6370000000006,8676.403849999999,0.2039,75357.5126,0.04243870562448203
100,400,300,300,400,3062.8906673499996,4018.3280066074376,-3928.71055,3308.9499999999994,9280.054950000002,0.2194,88949.3713,0.036169335421383744
300,250,300,300,400,3061.79225665,4254.505480493155,-4366.872525000001,3360.92875,9521.768525000001,0.22755,88685.6525,0.03623033270089257
300,500,300,250,400,3059.60810095,4374.053355577997,-4560.850400000001,3397.6352499999994,9723.461374999997,0.23735,86571.46085,0.03695542597079313
200,300,150,300,400,3059.09638405,3409.174005521957,-3029.2632,3337.5375,8125.384249999999,0.184,82861.33535,0.03891752539578851
300,500,300,200,400,3059.0489589999997,4374.725003754072,-4536.671800000001,3383.0035000000003,9779.458975,0.23935,80973.41935,0.03934851744461205
300,300,100,300,400,3058.58146975,3359.486938039571,-2936.22165,3364.3014999999996,8025.9264,0.181,80702.5594,0.03993466885375914
300,400,200,250,400,3058.23372085,3788.049496637659,-3630.5987000000005,3371.7480000000005,8734.191799999999,0.2064,81903.78005,0.039097457738959625
300,400,200,200,400,3057.6745788999992,3782.0504242140605,-3597.986700000001,3358.9875,8743.87105,0.20715,76305.73855,0.04180105700860729
150,300,300,300,400,3057.1701400999996,4077.576331661536,-4056.8025749999997,3324.1034999999993,9287.387949999998,0.22155,88672.84915,0.03619541712029374
100,300,250,300,400,3057.00093575,3721.0434905282514,-3453.41835,3288.1729999999993,8761.350899999998,0.20315,86257.96495,0.03725765295235574
