date,bet_id,model,portfolio_score_col,score_portfolio,score_operacional,abs_diff,cutoff_operacional,calib_floor,ts_utc
2026-01-22,23478,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.31070653200337217,0.31070653200337217,0.0,0.62,0.005,2026-01-22 13:05:53.064357+00:00
2026-01-22,23480,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.16666666666666666,0.16666666666666666,0.0,0.62,0.005,2026-01-22 13:25:43.771277+00:00
2026-01-22,23482,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 13:30:16.657742+00:00
2026-01-22,23483,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4909090909090909,0.4909090909090909,0.0,0.62,0.005,2026-01-22 13:30:33.225445+00:00
2026-01-22,23485,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.35555555555555557,0.35555555555555557,0.0,0.62,0.005,2026-01-22 13:37:52.961965+00:00
2026-01-22,23487,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4909090909090909,0.4909090909090909,0.0,0.62,0.005,2026-01-22 13:58:49.520760+00:00
2026-01-22,23488,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 14:00:51.974636+00:00
2026-01-22,23489,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.16666666666666666,0.16666666666666666,0.0,0.62,0.005,2026-01-22 14:01:08.913227+00:00
2026-01-22,23490,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 14:01:32.589152+00:00
2026-01-22,23492,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.48924124936179714,0.48924124936179714,0.0,0.62,0.005,2026-01-22 14:01:51.021186+00:00
2026-01-22,23493,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 14:02:06.949776+00:00
2026-01-22,23494,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3822862435301223,0.3822862435301223,0.0,0.62,0.005,2026-01-22 14:02:22.802424+00:00
2026-01-22,23496,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.16666666666666666,0.16666666666666666,0.0,0.62,0.005,2026-01-22 14:14:04.582866+00:00
2026-01-22,23497,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 14:18:04.330118+00:00
2026-01-22,23499,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 14:48:44.846429+00:00
2026-01-22,23500,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.35555555555555557,0.35555555555555557,0.0,0.62,0.005,2026-01-22 14:49:08.887902+00:00
2026-01-22,23501,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4536082474226804,0.4536082474226804,0.0,0.62,0.005,2026-01-22 14:49:25.322054+00:00
2026-01-22,23503,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.44272445820433437,0.44272445820433437,0.0,0.62,0.005,2026-01-22 15:00:45.839959+00:00
2026-01-22,23504,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4536082474226804,0.4536082474226804,0.0,0.62,0.005,2026-01-22 15:01:01.979923+00:00
2026-01-22,23505,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4074960758059937,0.4074960758059937,0.0,0.62,0.005,2026-01-22 15:01:18.076633+00:00
2026-01-22,23506,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3125,0.3125,0.0,0.62,0.005,2026-01-22 15:01:34.426921+00:00
2026-01-22,23508,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4909090909090909,0.4909090909090909,0.0,0.62,0.005,2026-01-22 15:01:53.490243+00:00
2026-01-22,23510,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.4536082474226804,0.4536082474226804,0.0,0.62,0.005,2026-01-22 15:02:12.622529+00:00
2026-01-22,23511,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3125,0.3125,0.0,0.62,0.005,2026-01-22 15:02:29.337917+00:00
2026-01-22,23512,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.16666666666666666,0.16666666666666666,0.0,0.62,0.005,2026-01-22 15:02:45.988366+00:00
2026-01-22,23515,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.3125,0.3125,0.0,0.62,0.005,2026-01-22 15:04:09.055790+00:00
2026-01-22,23516,C:\Bets\ModelosEstatísticos\model_logit_SegQui.joblib,proba_cal_segqui,0.31185075319019273,0.31185075319019273,0.0,0.62,0.005,2026-01-22 15:04:25.664197+00:00
