ts,Tipo,DOW_name,ROI,score_retro,model_used,n_casas,dif_odd_1_2,dif_odd_1_med,dif_odds_rb_bia,m2ms,tempo_total_bot,Subtipo,dow_pt,turno,Casa_vencedora
2025-08-27 00:07:00,FH,Ter,0.97,0.505869700229575,global_fallback,2.0,0.08,0.04,0.0203045685279188,1433.0,,"-0,25",quarta-feira,madrugada,sing2
2025-08-27 09:21:00,FT,Qua,0.98,0.7715358535897384,global_fallback,8.0,0.05,0.07,0.005050505050505055,564.0,,"+3,75",quarta-feira,manhã,sing2
2025-08-27 09:21:00,FT,Qua,0.98,0.7715358535897384,global_fallback,8.0,0.05,0.07,0.005050505050505055,564.0,,"+3,75",quarta-feira,manhã,sing2
2025-08-27 09:28:00,FT,Qua,-1.0,0.5964710994786488,global_fallback,11.0,0.01,0.04,-97.78277153558052,571.0,,"-0,75",quarta-feira,manhã,sing2
2025-08-27 09:38:00,FT,Qua,0.8999999999999999,0.5244922300328929,global_fallback,2.0,0.08,0.04,0.005263157894736847,472.0,,"+0,25",quarta-feira,manhã,sing2
2025-08-27 09:39:00,FH,Qua,0.78,0.3736519001647822,global_fallback,3.0,0.03,0.03,0.005617977528089893,380.0,,0,quarta-feira,manhã,sing2
2025-08-27 09:55:00,FT,Qua,-1.0,0.35721083006492377,global_fallback,8.0,0.03,0.05,0.00612341026848815,530.0,,"+1,5",quarta-feira,manhã,sing2
2025-08-27 10:26:00,FT,Qua,-1.0,0.5651344658977473,global_fallback,5.0,0.06,0.06,0.0049261083743841316,304.0,,"-0,75",quarta-feira,manhã,sing2
2025-08-27 11:08:00,FT,Qua,0.819,0.5302525569992281,global_fallback,7.0,0.04,0.05,0.004947773501924078,382.0,,"+0,25",quarta-feira,manhã,sing2
2025-08-28 09:49:00,FT,Qui,0.98,0.5135110004817238,global_fallback,7.0,0.02,0.04,0.005050505050505055,461.0,,"-1,25",quinta-feira,manhã,sbo
2025-08-28 09:54:00,FT,Qui,0.9199999999999999,0.3525068767908018,global_fallback,8.0,0.05,0.07,0.005208333333333338,546.0,,1,quinta-feira,manhã,sing2
2025-08-28 11:30:00,FT,Qui,1.009,0.3005194479789363,global_fallback,4.0,0.01,0.04,-0.000497760079641558,539.0,,0,quinta-feira,manhã,pin88
2025-08-28 11:32:00,FT,Qui,-1.0,0.5168301980937102,global_fallback,8.0,0.03,0.04,0.005847953216374274,1873.0,,"+0,75",quinta-feira,manhã,sing2
