audit_id,audit_to_finished_ms,audit_to_request_ms,call_to_done_ms,detected_to_audited_ms,execution_id,post_ms,pre_submit_ms,queue_delay_ms,request_created_at,request_to_finished_ms,result_finished_at,shadow_to_request_ms,status,total_ms_timing
421362,,,2297,,ef9c292b-447c-49a3-848e-b4f772d48993,781,1095,0,2026-07-29T10:39:15.272556+00:00,2297.0280000000002,2026-07-29T10:39:17.569584+00:00,,CAP_BLOCKED,1091
421382,,,2301,,b1bf1995-e4aa-475c-96bc-6237bbed7962,770,1097,0,2026-07-29T10:41:57.316403+00:00,2300.9,2026-07-29T10:41:59.617303+00:00,,CAP_BLOCKED,1093
421390,,,2311,,74259a6a-4164-4ae9-a747-0db32410197c,778,1109,1,2026-07-29T10:42:39.316679+00:00,2310.623,2026-07-29T10:42:41.627302+00:00,,CAP_BLOCKED,1101
421392,10177.286,287.05199999999996,9890,7.707999999999999,4b3ed54f-455f-4ba9-91f1-241e175d3236,4428,4785,0,2026-07-29T10:42:41.730156+00:00,9890.234,2026-07-29T10:42:51.620390+00:00,14.602,LIVE_OK,4779
421461,,,2466,,1106c6ab-9384-438c-ad34-889774a81b38,897,1264,0,2026-07-29T10:51:04.856432+00:00,2466.469,2026-07-29T10:51:07.322901+00:00,,CAP_BLOCKED,1260
421479,,,2951,,c6a53510-a857-4833-a386-6ec1d7eef68a,1304,1749,0,2026-07-29T10:54:05.416154+00:00,2951.2019999999998,2026-07-29T10:54:08.367356+00:00,,CAP_BLOCKED,1741
421493,,,2404,,2ec912bb-cfad-4f3f-8738-466eabaf69f7,791,1203,0,2026-07-29T10:56:08.009997+00:00,2404.402,2026-07-29T10:56:10.414399+00:00,,CAP_BLOCKED,1200
421503,,,2392,,4cdd609a-2c31-451c-a790-32dd5deceaa3,773,1187,0,2026-07-29T10:58:23.827893+00:00,2392.456,2026-07-29T10:58:26.220349+00:00,,CAP_BLOCKED,1183
421512,6543.706,3109.8810000000003,3434,3.7190000000000003,069e7402-86ec-460d-ae61-d7c00b919341,786,1223,0,2026-07-29T10:59:25.391071+00:00,3433.8250000000003,2026-07-29T10:59:28.824896+00:00,3013.4539999999997,LIVE_OK,1220
421515,,,6516,,647b2dcd-e2f9-4fc7-a539-3d22c6aa3dfa,4800,5312,0,2026-07-29T11:00:08.523018+00:00,6516.374,2026-07-29T11:00:15.039392+00:00,,CAP_BLOCKED,5217
421546,8631.731,4911.996,3720,2.7880000000000003,c80dcf77-36d8-4289-b703-ff79cf38b918,739,1113,0,2026-07-29T11:04:26.200252+00:00,3719.735,2026-07-29T11:04:29.919987+00:00,3642.51,LIVE_OK,1110
421555,,,2287,,0c75edec-46fa-451a-b34e-343e223d8509,768,1079,0,2026-07-29T11:05:26.736281+00:00,2286.644,2026-07-29T11:05:29.022925+00:00,,CAP_BLOCKED,1077
421580,,,2852,,50b882c6-eed8-4d25-80f2-30ace65e094a,1298,1651,0,2026-07-29T11:08:44.218275+00:00,2851.718,2026-07-29T11:08:47.069993+00:00,,CAP_BLOCKED,1644
421616,,,2404,,25ab3b13-5161-4a0a-af83-4bf0b08e5d24,737,1163,0,2026-07-29T11:12:39.612664+00:00,2404.005,2026-07-29T11:12:42.016669+00:00,,CAP_BLOCKED,1160
421619,,,2331,,4224bc69-54ff-4927-9dfd-b85960fe2dee,755,1130,0,2026-07-29T11:13:07.184381+00:00,2330.962,2026-07-29T11:13:09.515343+00:00,,CAP_BLOCKED,1127
421621,,,2493,,ffebd47a-2ad2-4047-b922-9e7c2bd69f68,757,1292,0,2026-07-29T11:13:07.332448+00:00,2492.98,2026-07-29T11:13:09.825428+00:00,,CAP_BLOCKED,1288
421648,,,2357,,b38b7195-1891-4021-ba71-a424778a0c44,781,1156,0,2026-07-29T11:17:15.559942+00:00,2357.2920000000004,2026-07-29T11:17:17.917234+00:00,,CAP_BLOCKED,1153
421650,,,3216,,ae6e0416-9ac0-42c0-b27d-d478c6ba5430,1772,2096,0,2026-07-29T11:17:15.719912+00:00,3215.9230000000002,2026-07-29T11:17:18.935835+00:00,,CAP_BLOCKED,2093
421660,,,2231,,24c9aa0c-3223-4593-896b-53eefebf78f9,715,1029,0,2026-07-29T11:18:10.444484+00:00,2230.971,2026-07-29T11:18:12.675455+00:00,,CAP_BLOCKED,1026
421665,,,2402,,f2aabc6c-ed45-425a-9c1b-1f4a329cbeee,838,1201,0,2026-07-29T11:18:44.466556+00:00,2401.723,2026-07-29T11:18:46.868279+00:00,,CAP_BLOCKED,1195
421718,,,2393,,726dc307-46dc-4ea8-863a-9cbe92bd8ef2,803,1191,0,2026-07-29T11:25:49.624972+00:00,2392.942,2026-07-29T11:25:52.017914+00:00,,CAP_BLOCKED,1182
421724,,,3182,,6d93a06e-eb40-481b-b83c-aacfe63fca2a,1667,1978,0,2026-07-29T11:26:29.435688+00:00,3181.6270000000004,2026-07-29T11:26:32.617315+00:00,,CAP_BLOCKED,1971
421725,,,4580,,64a9c949-1f44-4b23-a69b-0abec3c79783,2888,3341,0,2026-07-29T11:26:29.933917+00:00,4580.051,2026-07-29T11:26:34.513968+00:00,,CAP_BLOCKED,3332
