ts,day,era,cum_pnl,cum_stake,cum_roi,order_id
2026-07-31T14:09:54.368546+00:00,2026-07-31,stake10,-27.530000000000026,550.0,-0.050054545454545504,1945242424
2026-07-31T14:09:54.536503+00:00,2026-07-31,stake10,-17.460000000000026,560.0,-0.031178571428571476,1945242553
2026-07-31T15:45:40.272549+00:00,2026-07-31,stake10,-6.870000000000026,570.0,-0.012052631578947414,1945663746
2026-07-31T16:45:08.400945+00:00,2026-07-31,stake10,-16.860000000000028,580.0,-0.02906896551724143,1945975118
2026-07-31T17:06:08.101384+00:00,2026-07-31,stake10,-7.360000000000028,590.0,-0.012474576271186488,1946083771
2026-07-31T17:06:53.210571+00:00,2026-07-31,stake10,-17.220000000000027,600.0,-0.028700000000000045,1946087546
2026-07-31T17:52:58.190513+00:00,2026-07-31,stake10,-7.880000000000027,610.0,-0.01291803278688529,1946336513
2026-07-31T18:00:32.623430+00:00,2026-07-31,stake10,1.2499999999999734,620.0,0.0020161290322580215,1946375329
2026-07-31T18:18:26.108905+00:00,2026-07-31,stake10,9.119999999999973,630.0,0.014476190476190432,1946470238
2026-07-31T18:26:40.685303+00:00,2026-07-31,stake10,-0.8600000000000279,640.0,-0.0013437500000000435,1946512460
2026-07-31T18:39:44.913760+00:00,2026-07-31,stake10,-10.860000000000028,650.0,-0.01670769230769235,1946584372
2026-07-31T20:28:45.253987+00:00,2026-07-31,stake10,-1.2200000000000273,660.0,-0.0018484848484848898,1947151721
2026-07-31T23:33:59.315652+00:00,2026-07-31,stake10,-11.060000000000027,670.0,-0.016507462686567206,1947819383
2026-08-01T00:08:07.266202+00:00,2026-08-01,stake10,-21.040000000000028,680.0,-0.030941176470588277,1947965644
2026-08-01T01:19:47.677977+00:00,2026-08-01,stake10,-12.430000000000028,690.0,-0.01801449275362323,1948212197
2026-08-01T04:00:59.150713+00:00,2026-08-01,stake10,-7.470000000000028,700.0,-0.010671428571428611,1948689710
2026-08-01T04:06:14.687848+00:00,2026-08-01,stake10,-17.450000000000028,710.0,-0.024577464788732434,1948705738
2026-08-01T06:51:45.731814+00:00,2026-08-01,stake10,-22.450000000000028,720.0,-0.031180555555555593,1949058711
2026-08-01T07:10:04.867800+00:00,2026-08-01,stake10,-18.00000000000003,730.0,-0.02465753424657538,1949096716
2026-08-01T08:31:27.854578+00:00,2026-08-01,stake10,-27.98000000000003,740.0,-0.03781081081081085,1949335817
2026-08-01T08:58:49.898911+00:00,2026-08-01,stake10,-20.110000000000028,750.0,-0.02681333333333337,1949430538
2026-08-01T09:02:03.495384+00:00,2026-08-01,stake10,-30.10000000000003,760.0,-0.039605263157894775,1949442202
2026-08-01T10:26:44.281399+00:00,2026-08-01,stake10,-40.08000000000003,770.0,-0.052051948051948085,1949757343
2026-08-01T11:03:09.365428+00:00,2026-08-01,stake10,-29.89000000000003,780.0,-0.03832051282051286,1949906626
2026-08-01T11:12:42.399670+00:00,2026-08-01,stake10,-21.50000000000003,790.0,-0.02721518987341776,1949955995
2026-08-01T11:57:34.794603+00:00,2026-08-01,stake10,-31.49000000000003,800.0,-0.039362500000000036,1950178835
2026-08-01T13:20:31.115840+00:00,2026-08-01,stake2,-30.58000000000003,802.0,-0.038129675810473856,1950605384
2026-08-01T13:31:25.160504+00:00,2026-08-01,stake2,-32.58000000000003,804.0,-0.04052238805970153,1950663405
2026-08-01T13:46:13.067789+00:00,2026-08-01,stake2,-34.58000000000003,806.0,-0.042903225806451645,1950742531
2026-08-01T13:56:10.386128+00:00,2026-08-01,stake2,-36.58000000000003,808.0,-0.045272277227722806,1950790740
2026-08-01T13:59:48.808193+00:00,2026-08-01,stake2,-35.810000000000024,810.0,-0.0442098765432099,1950808302
2026-08-01T14:07:01.370707+00:00,2026-08-01,stake2,-33.690000000000026,812.0,-0.04149014778325126,1950846259
2026-08-01T14:18:42.258291+00:00,2026-08-01,stake2,-35.690000000000026,814.0,-0.04384520884520888,1950910851
2026-08-01T14:27:13.581891+00:00,2026-08-01,stake2,-37.690000000000026,816.0,-0.04618872549019611,1950960340
2026-08-01T14:59:53.525072+00:00,2026-08-01,stake2,-36.020000000000024,818.0,-0.044034229828850885,1951140052
2026-08-01T15:57:02.376945+00:00,2026-08-01,stake2,-34.300000000000026,820.0,-0.04182926829268296,1951392683
2026-08-01T17:05:10.356168+00:00,2026-08-01,stake2,-36.300000000000026,822.0,-0.04416058394160587,1951745589
2026-08-01T17:09:21.831577+00:00,2026-08-01,stake2,-38.300000000000026,824.0,-0.046480582524271875,1951768617
2026-08-01T18:18:43.827884+00:00,2026-08-01,stake2,-40.300000000000026,826.0,-0.0487893462469734,1952144595
2026-08-01T19:10:04.690334+00:00,2026-08-01,stake2,-42.300000000000026,828.0,-0.05108695652173916,1952423641
2026-08-01T19:34:24.130032+00:00,2026-08-01,stake2,-40.260000000000026,830.0,-0.048506024096385575,1952556213
2026-08-01T19:34:29.869830+00:00,2026-08-01,stake2,-42.270000000000024,832.0,-0.05080528846153849,1952556847
2026-08-01T20:15:05.180181+00:00,2026-08-01,stake2,-43.270000000000024,834.0,-0.05188249400479619,1952769462
2026-08-01T20:59:56.831279+00:00,2026-08-01,stake2,-42.29000000000003,836.0,-0.05058612440191391,1952964690
2026-08-01T22:38:37.431545+00:00,2026-08-01,stake2,-40.53000000000003,838.0,-0.04836515513126495,1953405945
2026-08-01T22:48:47.450014+00:00,2026-08-01,stake2,-38.75000000000003,840.0,-0.04613095238095241,1953452253
2026-08-01T22:53:46.452867+00:00,2026-08-01,stake2,-40.75000000000003,842.0,-0.04839667458432308,1953473478
2026-08-02T02:22:34.587420+00:00,2026-08-02,stake2,-42.75000000000003,844.0,-0.05065165876777254,1954383559
2026-08-02T05:16:22.546418+00:00,2026-08-02,stake2,-44.370000000000026,846.0,-0.05244680851063833,1954897029
2026-08-02T06:43:18.533773+00:00,2026-08-02,stake2,-43.050000000000026,848.0,-0.05076650943396229,1955092566
2026-08-02T08:20:29.880489+00:00,2026-08-02,stake2,-41.270000000000024,850.0,-0.04855294117647062,1955345825
2026-08-02T10:46:56.167647+00:00,2026-08-02,stake2,-39.270000000000024,852.0,-0.04609154929577468,1955877125
2026-08-02T10:58:31.128525+00:00,2026-08-02,stake2,-37.510000000000026,854.0,-0.043922716627634695,1955918017
2026-08-02T11:43:59.831405+00:00,2026-08-02,stake2,-36.510000000000026,856.0,-0.04265186915887854,1956132009
2026-08-02T11:51:45.515583+00:00,2026-08-02,stake2,-38.510000000000026,858.0,-0.044883449883449916,1956169138
